,Year,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Month_Sin,Month_Cos,GDP,CPI,Unemployment,PMI,GDP_YOY,CPI_YOY,Unemployment_YOY,PMI_YOY,GDP_MOM,CPI_MOM,Unemployment_MOM,PMI_MOM,SPY_Return,SPY_Return_Prev1M,SPY_Return_Prev2M,QQQ_Return,QQQ_Return_Prev1M,QQQ_Return_Prev2M,Next_Month_SPY,Next_Month_QQQ,Processing_Date
0,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,2.17,1.495,2025-01-19
1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,2.17,1.495,2025-01-19
2,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,-1.02,0.26,2025-01-19
3,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,21058.379,262.518,6.4,97.6118,0.0,0.0,0.0,0.0,0.0,0.2,-4.48,0.98,-1.02,2.17,2.24,0.26,1.495,1.72,2.78,-0.13,2025-01-19
4,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,21058.379,263.583,6.2,93.5661,0.0,0.0,0.0,0.0,0.0,0.41,-3.13,-4.14,2.78,-1.02,2.24,-0.13,0.26,1.72,4.54,1.72,2025-01-19
5,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,21058.379,264.91,6.1,96.5339,0.0,0.0,0.0,0.0,0.0,0.5,-1.61,3.17,4.54,2.78,-1.02,1.72,-0.13,0.26,5.29,5.91,2025-01-19
6,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,21389.005,266.752,6.1,96.603,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.07,5.29,4.54,2.78,5.91,1.72,-0.13,0.66,-1.2,2025-01-19
7,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,21389.005,268.452,5.8,97.7028,0.0,0.0,0.0,0.0,0.0,0.64,-4.92,1.14,0.66,5.29,4.54,-1.2,5.91,1.72,2.24,6.26,2025-01-19
8,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,21389.005,270.664,5.9,97.798,0.0,0.0,0.0,0.0,0.0,0.82,1.72,0.1,2.24,0.66,5.29,6.26,-1.2,5.91,2.44,2.86,2025-01-19
9,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,21571.421,271.994,5.4,98.6215,0.0,0.0,0.0,0.0,0.0,0.49,-8.47,0.84,2.44,2.24,0.66,2.86,6.26,-1.2,2.98,4.22,2025-01-19
10,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,21571.421,272.789,5.1,98.2652,0.0,0.0,0.0,0.0,0.0,0.29,-5.56,-0.36,2.98,2.44,2.24,4.22,2.86,6.26,-4.66,-5.68,2025-01-19
11,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,21571.421,273.887,4.7,97.3096,0.0,0.0,0.0,0.0,0.0,0.4,-7.84,-0.97,-4.66,2.98,2.44,-5.68,4.22,2.86,7.02,7.86,2025-01-19
12,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,21960.388,276.434,4.5,98.7064,5.72,0.0,0.0,0.0,0.0,0.93,-4.26,1.44,7.02,-4.66,2.98,7.86,-5.68,4.22,-0.8,2.0,2025-01-19
13,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,21960.388,278.799,4.2,99.6303,5.72,0.0,0.0,0.0,0.0,0.86,-6.67,0.94,-0.8,7.02,-4.66,2.0,7.86,-5.68,4.62,1.15,2025-01-19
14,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,21960.388,280.808,3.9,99.7196,5.72,7.18,-41.79,3.16,0.0,0.72,-7.14,0.09,4.62,-0.8,7.02,1.15,2.0,7.86,-5.27,-8.75,2025-01-19
15,2022,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,21903.85,282.39,4.0,99.0901,4.01,7.57,-37.5,1.51,0.0,0.56,2.56,-0.63,-5.27,4.62,-0.8,-8.75,1.15,2.0,-2.95,-4.48,2025-01-19
16,2022,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,21903.85,284.535,3.8,99.9974,4.01,7.95,-38.71,6.87,0.0,0.76,-5.0,0.92,-2.95,-5.27,4.62,-4.48,-8.75,1.15,3.76,4.67,2025-01-19
17,2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,21903.85,287.553,3.7,100.925,4.01,8.55,-39.34,4.55,0.0,1.06,-2.63,0.93,3.76,-2.95,-5.27,4.67,-4.48,-8.75,-8.78,-13.6,2025-01-19
18,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,21919.222,288.764,3.7,100.9186,2.48,8.25,-39.34,4.47,0.0,0.42,0.0,-0.01,-8.78,3.76,-2.95,-13.6,4.67,-4.48,0.23,-1.59,2025-01-19
19,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,21919.222,291.359,3.6,100.7136,2.48,8.53,-37.93,3.08,0.0,0.9,-2.7,-0.2,0.23,-8.78,3.76,-1.59,-13.6,4.67,-8.25,-8.91,2025-01-19
20,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,21919.222,294.996,3.6,100.3815,2.48,8.99,-38.98,2.64,0.0,1.25,0.0,-0.33,-8.25,0.23,-8.78,-8.91,-1.59,-13.6,9.21,12.55,2025-01-19
21,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,22066.784,294.977,3.5,100.5031,2.3,8.45,-35.19,1.91,0.0,-0.01,-2.78,0.12,9.21,-8.25,0.23,12.55,-8.91,-1.59,-4.08,-5.13,2025-01-19
22,2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,22066.784,295.209,3.6,100.744,2.3,8.22,-29.41,2.52,0.0,0.08,2.86,0.24,-4.08,9.21,-8.25,-5.13,12.55,-8.91,-9.24,-10.54,2025-01-19
23,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,22066.784,296.341,3.5,100.9433,2.3,8.2,-25.53,3.73,0.0,0.38,-2.78,0.2,-9.24,-4.08,9.21,-10.54,-5.13,12.55,8.13,4.0,2025-01-19
24,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,22249.459,297.863,3.6,101.0181,1.32,7.75,-20.0,2.34,0.0,0.51,2.86,0.07,8.13,-9.24,-4.08,4.0,-10.54,-5.13,5.56,5.54,2025-01-19
25,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,22249.459,298.648,3.6,100.3051,1.32,7.12,-14.29,0.68,0.0,0.26,0.0,-0.71,5.56,8.13,-9.24,5.54,4.0,-10.54,-5.76,-9.01,2025-01-19
26,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,22249.459,298.812,3.5,98.441,1.32,6.41,-10.26,-1.28,0.0,0.05,-2.78,-1.86,-5.76,5.56,8.13,-9.01,5.54,4.0,6.29,10.64,2025-01-19
27,2023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,22403.435,300.356,3.5,100.2508,2.28,6.36,-12.5,1.17,0.0,0.52,0.0,1.84,6.29,-5.76,5.56,10.64,-9.01,5.54,-2.51,-0.36,2025-01-19
28,2023,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,22403.435,301.509,3.6,100.2323,2.28,5.97,-5.26,0.23,0.0,0.38,2.86,-0.02,-2.51,6.29,-5.76,-0.36,10.64,-9.01,3.71,9.49,2025-01-19
29,2023,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,22403.435,301.744,3.5,99.6408,2.28,4.94,-5.41,-1.27,0.0,0.08,-2.78,-0.59,3.71,-2.51,6.29,9.49,-0.36,10.64,1.6,0.51,2025-01-19
30,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,22539.418,303.032,3.4,100.3856,2.83,4.94,-8.11,-0.53,0.0,0.43,-2.86,0.75,1.6,3.71,-2.51,0.51,9.49,-0.36,0.46,7.88,2025-01-19
31,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,22539.418,303.365,3.6,100.2887,2.83,4.12,0.0,-0.42,0.0,0.11,5.88,-0.1,0.46,1.6,3.71,7.88,0.51,9.49,6.48,6.3,2025-01-19
32,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,22539.418,304.003,3.6,99.6499,2.83,3.05,0.0,-0.73,0.0,0.21,0.0,-0.64,6.48,0.46,1.6,6.3,7.88,0.51,3.27,3.86,2025-01-19
33,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,22780.933,304.628,3.5,99.9367,3.24,3.27,0.0,-0.56,0.0,0.21,-2.78,0.29,3.27,6.48,0.46,3.86,6.3,7.88,-1.63,-1.48,2025-01-19
34,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,22780.933,306.187,3.7,99.9923,3.24,3.72,2.78,-0.75,0.0,0.51,5.71,0.06,-1.63,3.27,6.48,-1.48,3.86,6.3,-4.74,-5.08,2025-01-19
35,2023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,22780.933,307.288,3.8,100.1002,3.24,3.69,8.57,-0.84,0.0,0.36,2.7,0.11,-4.74,-1.63,3.27,-5.08,-1.48,3.86,-2.17,-2.07,2025-01-19
36,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,22960.6,307.531,3.9,99.3166,3.2,3.25,8.33,-1.68,0.0,0.08,2.63,-0.78,-2.17,-4.74,-1.63,-2.07,-5.08,-1.48,9.13,10.82,2025-01-19
37,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,22960.6,308.024,3.7,99.8694,3.2,3.14,2.78,-0.43,0.0,0.16,-5.13,0.56,9.13,-2.17,-4.74,10.82,-2.07,-5.08,4.57,5.59,2025-01-19
38,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,22960.6,308.742,3.8,99.8251,3.2,3.32,8.57,1.41,0.0,0.23,2.7,-0.04,4.57,9.13,-2.17,5.59,10.82,-2.07,1.59,1.82,2025-01-19
39,2024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,23053.545,309.685,3.7,98.4489,2.9,3.11,5.71,-1.8,0.0,0.31,-2.63,-1.38,1.59,4.57,9.13,1.82,5.59,10.82,5.22,5.28,2025-01-19
40,2024,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,23053.545,311.054,3.9,99.8476,2.9,3.17,8.33,-0.38,0.0,0.44,5.41,1.42,5.22,1.59,4.57,5.28,1.82,5.59,3.27,1.27,2025-01-19
41,2024,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,23053.545,312.23,3.9,100.0599,2.9,3.48,11.43,0.42,0.0,0.38,0.0,0.21,3.27,5.22,1.59,1.27,5.28,1.82,-4.03,-4.37,2025-01-19
42,2024,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,23223.906,313.207,3.9,99.3696,3.04,3.36,14.71,-1.01,0.0,0.31,0.0,-0.69,-4.03,3.27,5.22,-4.37,1.27,5.28,5.06,6.15,2025-01-19
43,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,23223.906,313.225,4.0,100.0424,3.04,3.25,11.11,-0.25,0.0,0.01,2.56,0.68,5.06,-4.03,3.27,6.15,-4.37,1.27,3.53,6.47,2025-01-19
44,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,23223.906,313.049,4.1,99.9935,3.04,2.98,13.89,0.34,0.0,-0.06,2.5,-0.05,3.53,5.06,-4.03,6.47,6.15,-4.37,1.21,-1.68,2025-01-19
45,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,23400.294,313.534,4.2,99.3588,2.72,2.92,20.0,-0.58,0.0,0.15,2.44,-0.63,1.21,3.53,5.06,-1.68,6.47,6.15,2.34,1.1,2025-01-19
46,2024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,23400.294,314.121,4.2,99.9039,2.72,2.59,13.51,-0.09,0.0,0.19,0.0,0.55,2.34,1.21,3.53,1.1,-1.68,6.47,2.1,2.62,2025-01-19
47,2024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,23400.294,314.686,4.1,99.5739,2.72,2.41,7.89,-0.53,0.0,0.18,-2.38,-0.33,2.1,2.34,1.21,2.62,1.1,-1.68,-0.89,-0.86,2025-01-19
48,2024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,23400.294,315.454,4.1,98.8537,2.72,2.58,5.13,-0.47,0.0,0.24,0.0,-0.72,-0.89,2.1,2.34,-0.86,2.62,1.1,5.96,5.35,2025-01-19
49,2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,23400.294,316.441,4.2,99.333,2.72,2.73,13.51,-0.54,0.0,0.31,2.44,0.48,5.96,-0.89,2.1,5.35,-0.86,2.62,-2.41,0.45,2025-01-19
